   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 5 : Time = 4.000541
 Number         5
  238795  0.17197E+03
  238796  0.17156E+03
  238797  0.17104E+03
  238798  0.17040E+03
  238799  0.16964E+03
  238800  0.16873E+03
  238801  0.16768E+03
  238802  0.16650E+03
  238803  0.16521E+03
  238804  0.16382E+03
  238805  0.16244E+03
  238806  0.16113E+03
  238807  0.15992E+03
  238808  0.15880E+03
  238809  0.15780E+03
  238810  0.15688E+03
  238811  0.15602E+03
  238812  0.15520E+03
  238813  0.15439E+03
  238814  0.15362E+03
  238815  0.15285E+03
  238816  0.15205E+03
  238817  0.15125E+03
  238818  0.15049E+03
  238819  0.14973E+03
  238820  0.14898E+03
  238821  0.14829E+03
  238822  0.14769E+03
  238823  0.14724E+03
  238824  0.14705E+03
  238825  0.14710E+03
  238826  0.14746E+03
  238827  0.14828E+03
  238828  0.14960E+03
  238829  0.15140E+03
  238830  0.15372E+03
  238831  0.15664E+03
  238832  0.16027E+03
  238833  0.16464E+03
  238834  0.16985E+03
  238835  0.17617E+03
  238836  0.18383E+03
  238837  0.19294E+03
  238838  0.20356E+03
  238839  0.21581E+03
  238840  0.22963E+03
  238841  0.24416E+03
  238842  0.25824E+03
  238843  0.27130E+03
  238844  0.28311E+03
  238845  0.29354E+03
  238846  0.30259E+03
  238847  0.31023E+03
  238848  0.31646E+03
  238849  0.32118E+03
  238850  0.32433E+03
  238851  0.32591E+03
  238852  0.12344E+03
  238853  0.12385E+03
  238854  0.12454E+03
  238855  0.12533E+03
  238856  0.12631E+03
  238857  0.12776E+03
  238858  0.12966E+03
  238859  0.13212E+03
  238860  0.13628E+03
  238861  0.14189E+03
  238862  0.14793E+03
  238863  0.15425E+03
  238864  0.16033E+03
  238865  0.16584E+03
  238866  0.17066E+03
  238867  0.17469E+03
  238868  0.17786E+03
  238869  0.18017E+03
  238870  0.18156E+03
  238871  0.18202E+03
  238872  0.18159E+03
  238873  0.18027E+03
  238874  0.17808E+03
  238875  0.17513E+03
  238876  0.17160E+03
  238877  0.16792E+03
  238878  0.16456E+03
  238879  0.16160E+03
  238880  0.15892E+03
  238881  0.15644E+03
  238882  0.15417E+03
