   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_03_Stamping
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Prog. = 85.709778
 Number         9
  238576  0.46211E+03
  238577  0.45305E+03
  238578  0.45377E+03
  238579  0.45994E+03
  238580  0.45489E+03
  238581  0.44481E+03
  238582  0.43422E+03
  238583  0.42787E+03
  238584  0.43766E+03
  238585  0.45974E+03
  238586  0.47557E+03
  238587  0.48239E+03
  238588  0.48549E+03
  238589  0.48665E+03
  238590  0.48711E+03
  238591  0.48734E+03
  238592  0.48751E+03
  238593  0.48766E+03
  238594  0.48783E+03
  238595  0.48800E+03
  238596  0.48807E+03
  238597  0.48803E+03
  238598  0.48785E+03
  238599  0.48747E+03
  238600  0.48681E+03
  238601  0.48580E+03
  238602  0.48444E+03
  238603  0.48290E+03
  238604  0.48143E+03
  238605  0.48043E+03
  238606  0.48017E+03
  238607  0.48063E+03
  238608  0.48152E+03
  238609  0.48253E+03
  238610  0.48347E+03
  238611  0.48429E+03
  238612  0.48499E+03
  238613  0.48552E+03
  238614  0.48589E+03
  238615  0.48610E+03
  238616  0.48622E+03
  238617  0.48629E+03
  238618  0.48635E+03
  238619  0.48640E+03
  238620  0.48645E+03
  238621  0.48649E+03
  238622  0.48652E+03
  238623  0.48654E+03
  238624  0.48655E+03
  238625  0.48657E+03
  238626  0.48657E+03
  238627  0.48656E+03
  238628  0.48655E+03
  238629  0.48655E+03
  238630  0.48654E+03
  238631  0.48653E+03
  238632  0.48652E+03
  238633  0.48650E+03
  238634  0.48648E+03
  238635  0.48645E+03
  238636  0.48640E+03
  238637  0.48635E+03
  238638  0.48629E+03
  238639  0.48617E+03
  238640  0.48591E+03
  238641  0.48539E+03
  238642  0.48451E+03
  238643  0.48335E+03
  238644  0.48210E+03
  238645  0.48087E+03
  238646  0.47969E+03
  238647  0.47859E+03
  238648  0.47780E+03
  238649  0.47770E+03
  238650  0.47857E+03
  238651  0.48035E+03
  238652  0.48255E+03
  238653  0.48459E+03
  238654  0.48612E+03
  238655  0.48714E+03
  238656  0.48774E+03
  238657  0.48802E+03
  238658  0.48808E+03
  238659  0.48795E+03
  238660  0.48773E+03
  238661  0.48748E+03
  238662  0.48709E+03
  238663  0.48613E+03
  238664  0.48336E+03
  238665  0.47522E+03
  238666  0.45239E+03
  238667  0.43681E+03
  238668  0.44194E+03
  238669  0.45146E+03
  238670  0.45820E+03
  238671  0.45528E+03
  238672  0.45333E+03
  238673  0.45362E+03
  238674  0.44943E+03
  238675  0.44711E+03
  238676  0.44768E+03
  238677  0.44784E+03
  238678  0.44604E+03
  238679  0.44370E+03
  238680  0.44446E+03
  238681  0.44736E+03
  238682  0.44958E+03
  238683  0.45183E+03
  238684  0.45398E+03
  238685  0.45507E+03
  238686  0.45542E+03
  238687  0.45551E+03
  238688  0.45499E+03
  238689  0.45427E+03
  238690  0.45363E+03
  238691  0.45517E+03
  238692  0.45919E+03
  238693  0.46287E+03
  238694  0.46633E+03
  238695  0.46899E+03
  238696  0.46984E+03
  238697  0.47655E+03
  238698  0.47669E+03
  238699  0.47674E+03
  238700  0.47667E+03
  238701  0.47657E+03
  238702  0.47656E+03
  238703  0.47659E+03
  238704  0.47651E+03
  238705  0.47635E+03
  238706  0.47564E+03
  238707  0.47440E+03
  238708  0.47092E+03
  238709  0.46440E+03
  238710  0.45533E+03
  238711  0.44714E+03
  238712  0.44441E+03
  238713  0.44687E+03
  238714  0.45163E+03
  238715  0.45509E+03
  238716  0.45675E+03
  238717  0.45747E+03
  238718  0.45756E+03
  238719  0.45733E+03
  238720  0.45748E+03
  238721  0.45782E+03
  238722  0.45526E+03
  238723  0.45065E+03
  238724  0.45002E+03
  238725  0.45291E+03
  238726  0.45485E+03
  238727  0.45630E+03
  238728  0.45853E+03
  238729  0.46066E+03
  238730  0.46247E+03
  238731  0.46052E+03
  238732  0.45689E+03
  238733  0.45923E+03
  238734  0.46335E+03
  238735  0.46144E+03
  238736  0.45068E+03
  238737  0.43762E+03
  238738  0.42747E+03
  238739  0.42663E+03
  238740  0.44200E+03
  238741  0.46356E+03
  238742  0.47796E+03
  238743  0.48363E+03
  238744  0.48588E+03
  238745  0.48677E+03
  238746  0.48715E+03
  238747  0.48736E+03
  238748  0.48751E+03
  238749  0.48766E+03
  238750  0.48783E+03
  238751  0.48798E+03
  238752  0.48802E+03
  238753  0.48796E+03
  238754  0.48776E+03
  238755  0.48741E+03
  238756  0.48689E+03
  238757  0.48619E+03
  238758  0.48541E+03
  238759  0.48473E+03
  238760  0.48430E+03
  238761  0.48420E+03
  238762  0.48440E+03
  238763  0.48479E+03
  238764  0.48524E+03
  238765  0.48565E+03
  238766  0.48599E+03
  238767  0.48626E+03
  238768  0.48647E+03
  238769  0.48663E+03
  238770  0.48673E+03
  238771  0.48679E+03
  238772  0.48684E+03
  238773  0.48687E+03
  238774  0.48689E+03
  238775  0.48692E+03
  238776  0.48694E+03
  238777  0.48695E+03
  238778  0.48696E+03
  238779  0.48696E+03
  238780  0.48697E+03
  238781  0.48697E+03
  238782  0.48696E+03
  238783  0.48695E+03
  238784  0.48695E+03
  238785  0.48695E+03
  238786  0.48694E+03
  238787  0.48692E+03
  238788  0.48690E+03
  238789  0.48689E+03
  238790  0.48687E+03
